Sentence|AE|Drug
We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.|rhabdomyolysis|caffeine
After the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed.|8-hydroacy-desmethylclomipramine plasma level decrease|citalopram
After the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed.|desmethylclomipramine plasma level increase|citalopram
We report 3 cases of HIV-1 infected patients who experienced symptomatic angiolipomas shortly after starting antiretroviral therapy including the protease inhibitor indinavir.|angiolipomas|indinavir
Elevated serum triglycerides with clozapine resolved with risperidone in four patients.|Elevated serum triglycerides|clozapine
In two patients clozapine was reinstated after risperidone was discontinued; serum triglyceride levels increased.|serum triglyceride levels increased|clozapine
This increase when clozapine was switched to risperidone and vice versa is consistent with our previous report of elevated serum triglyceride levels in clozapine-treated patients.|elevated serum triglyceride levels|clozapine
Intravenous valproate associated with significant hypotension in the treatment of status epilepticus.|hypotension|valproate
To our knowledge, this is the first report of significant hypotension associated with intravenous valproate in the treatment of status epilepticus in the pediatric population.|hypotension|valproate
We report a case of severe hypotension associated with intravenous valproate used to treat status epilepticus in an 11-year-old girl.|hypotension|valproate
In both patients the rippling phenomena worsened with pyridostigmine treatment but markedly improved after immunosuppression with azathioprine.|rippling phenomena worsened|pyridostigmine
A diagnosis of masked theophylline poisoning should be considered in similar situations involving a rapid decrease of insulin requirements.|theophylline poisoning|theophylline
Salicylate intoxication was excluded, and theophylline was finally incriminated.|intoxication|theophylline
Theophylline intoxication mimicking diabetic ketoacidosis in a child.|Theophylline intoxication|Theophylline
This compound, used by adults in the child's home, had caused accidental theophylline poisoning, mimicking diabetic ketoacidosis.|theophylline poisoning|theophylline
Methylene blue in the treatment and prevention of ifosfamide-induced encephalopathy: report of 12 cases and a review of the literature.|ifosfamide-induced encephalopathy|ifosfamide
Ten to 15% of patients treated with ifosfamide develop an encephalopathy.|encephalopathy|ifosfamide
We conclude that MB is an effective treatment for ifosfamide-induced encephalopathy.|ifosfamide-induced encephalopathy|ifosfamide
Portal vein thrombosis in a patient with severe haemophilia A and F V G1691A mutation during continuous infusion of F VIII after intramural jejunal bleeding--successful thrombolysis under heparin therapy.|Portal vein thrombosis|F VIII
We report on a 14-year-old boy with severe haemophilia A who developed a portal vein thrombosis during continuous infusion of F VIII.|portal vein thrombosis|F VIII
A 60-year-old woman with diabetes mellitus (type 2) developed an acute icteric hepatitis-like illness 6 weeks after the initiation of gliclazide therapy.|acute icteric hepatitis-like illness|gliclazide
Gliclazide-induced acute hepatitis.|acute hepatitis|Gliclazide
In conclusion, this case strongly suggests that gliclazide can induce acute icteric liver necro-inflammation which may be misdiagnosed clinically as acute viral hepatitis.|acute icteric liver necro-inflammation|gliclazide
We believe that this is the first description of acute hepatitis caused by an idiosyncratic adverse reaction to gliclazide or to one of its metabolites.|acute hepatitis|gliclazide
We describe the case of acute hepatitis induced by gliclazide, a second generation sulfonylurea.|acute hepatitis|gliclazide
Caution is, therefore, needed to prevent undesired accumulation of TCA that may lead to protracted Cushing's syndrome.|Cushing's syndrome|TCA
Cushing's syndrome persisted more than 6 months while TCA concentrations remained detectable for at least 80 days.|Cushing's syndrome|TCA
The presented patient was treated with 200 mg TCA and developed Cushing's syndrome 6 weeks later (cortisol and ACTH concentrations were below limits of detection, TCA concentrations were > 3 micrograms/l).|Cushing's syndrome|TCA
Both had impaired lung function and abnormal computed tomographic scans, and their condition improved when nitrofurantoin was withdrawn and corticosteroid treatment commenced.|abnormal computed tomographic scans|nitrofurantoin
Both had impaired lung function and abnormal computed tomographic scans, and their condition improved when nitrofurantoin was withdrawn and corticosteroid treatment commenced.|impaired lung function|nitrofurantoin
Bronchiolitis obliterans organising pneumonia associated with the use of nitrofurantoin.|Bronchiolitis obliterans organising pneumonia|nitrofurantoin
The case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (BOOP), a rare but recognised form of drug induced injury.|BOOP|nitrofurantoin
The case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (BOOP), a rare but recognised form of drug induced injury.|bronchiolitis obliterans organising pneumonia|nitrofurantoin
The case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (BOOP), a rare but recognised form of drug induced injury.|lung disease|nitrofurantoin
The favourable outcome in these two patients contrasts with the fatal outcome of the two other reported cases of nitrofurantoin induced BOOP.|fatal outcome|nitrofurantoin
The favourable outcome in these two patients contrasts with the fatal outcome of the two other reported cases of nitrofurantoin induced BOOP.|nitrofurantoin induced BOOP|nitrofurantoin
The spectrum of nitrofurantoin lung injury continues to widen.|lung injury|nitrofurantoin
The two middle aged women presented with respiratory symptoms after prolonged treatment with nitrofurantoin.|respiratory symptoms|nitrofurantoin
We suggest that the previous classification of nitrofurantoin induced lung injury into "acute" and "chronic" injury is an oversimplification in view of the wide variety of pathological entities that have subsequently emerged.|nitrofurantoin induced lung injury|nitrofurantoin
Intravenous administration of levodopa ameliorated a refractory akathisia case induced by interferon-alpha.|akathisia|interferon-alpha
The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.|akathisia|interferon-alpha
The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.|neurotoxicity|interferon-alpha
Acute erythroid leukemia after cyclophosphamide therapy for multiple myeloma: report of two cases.|Acute erythroid leukemia|cyclophosphamide
The development of erythroid leukemia plus carcinoma in these two men suggests mutagenic change secondary to cyclophosphamide therapy.|carcinoma|cyclophosphamide
Scleroderma-like reaction induced by uracil-tegafur (UFT), a second-generation anticancer agent.|Scleroderma-like reaction|UFT
Scleroderma-like reaction induced by uracil-tegafur (UFT), a second-generation anticancer agent.|Scleroderma-like reaction|uracil-tegafur
This is the first report of UFT-induced scleroderma-like reaction.|UFT-induced scleroderma-like reaction|UFT
We report a case of a scleroderma-like reaction induced by long-term administration of UFT.|scleroderma-like reaction|UFT
Central nervous system manifestations of an ibuprofen overdose reversed by naloxone.|Central nervous system manifestations|ibuprofen
Ibuprofen overdose is usually characterized by GI upset, dizziness, and mild sedation.|dizziness|Ibuprofen
Ibuprofen overdose is usually characterized by GI upset, dizziness, and mild sedation.|GI upset|Ibuprofen
Ibuprofen overdose is usually characterized by GI upset, dizziness, and mild sedation.|mild sedation|Ibuprofen
Presently, treatment of acute ibuprofen intoxication with complications requires supportive therapy until the symptoms resolve over 24 to 48 hours.|ibuprofen intoxication|ibuprofen
We report the case of an 11-month-old female infant with a depressed level of consciousness after ingestion of ibuprofen whose mental status markedly improved with administration of naloxone.|depressed level of consciousness|ibuprofen
Flecainide-associated pneumonitis with acute respiratory failure in a patient with the LEOPARD syndrome.|acute respiratory failure|Flecainide
Flecainide-associated pneumonitis with acute respiratory failure in a patient with the LEOPARD syndrome.|pneumonitis|Flecainide
Flecainide is a rare cause of hypersensitivity pneumonitis, and few cases have been reported.|hypersensitivity pneumonitis|Flecainide
We describe a case of interstitial hypoxaemiant pneumonitis probably related to flecainide in a patient with the LEOPARD syndrome, a rare congenital disorder.|interstitial hypoxaemiant pneumonitis|flecainide
Sagittal sinus thrombosis associated with transient free protein S deficiency after L-asparaginase treatment: case report and review of the literature.|Sagittal sinus thrombosis|L-asparaginase
Sagittal sinus thrombosis associated with transient free protein S deficiency after L-asparaginase treatment: case report and review of the literature.|transient free protein S deficiency|L-asparaginase
We report the case of an adult patient with acute lymphoblastic leukemia who presented with repeated transient ischemic attacks followed by a seizure during consolidation treatment with L-asparaginase.|seizure|L-asparaginase
We report the case of an adult patient with acute lymphoblastic leukemia who presented with repeated transient ischemic attacks followed by a seizure during consolidation treatment with L-asparaginase.|transient ischemic attacks|L-asparaginase
We report on a young adolescent with benign intracranial hypertension which we attribute to the use of minocycline for acne.|benign intracranial hypertension|minocycline
We report 2 patients who developed polyarteritis nodosa following vaccination against hepatitis B.|polyarteritis nodosa|vaccination against hepatitis B
In this case, it was suspected that a combination of cigarette smoking, pulmonary fibrosis, and low-dose methotrexate therapy might have promoted the development of lung cancer.|lung cancer|methotrexate
This case report illustrates the use of continuous high-dose intracoronary nitroglycerin infusion through a 6 French coronary guiding catheter in the treatment of a patient with cocaine-induced refractory coronary vasospasm.|refractory coronary vasospasm|cocaine
However, as illustrated by these and other cases reported to date, the onset of troglitazone-induced liver injury is insidious and temporally variable.|liver injury|troglitazone
It remains to be seen whether the hepatotoxicity associated with troglitazone is a drug-class effect or specific to troglitazone.|hepatotoxicity|troglitazone
It remains to be seen whether the hepatotoxicity associated with troglitazone is a drug-class effect or specific to troglitazone.|hepatotoxicity|troglitazone
Other thiazolidinediones currently in clinical trials may be able to provide the therapeutic benefits of troglitazone without significant hepatotoxicity.|hepatotoxicity|troglitazone
The three reported cases demonstrate that troglitazone is an idiosyncratic hepatotoxin that can lead to irreversible liver injury.|irreversible liver injury|troglitazone
Troglitazone-induced fulminant hepatic failure.|fulminant hepatic failure|Troglitazone
Nitrofurantoin-induced lung disease: two cases demonstrating resolution of apparently irreversible CT abnormalities.|lung disease|Nitrofurantoin
We present two cases of nitrofurantoin-induced pulmonary toxicity in which the initial HRCT showed a widespread reticular pattern and associated distortion of the lung parenchyma, thought to represent established fibrosis.|distortion of the lung parenchyma|nitrofurantoin
We present two cases of nitrofurantoin-induced pulmonary toxicity in which the initial HRCT showed a widespread reticular pattern and associated distortion of the lung parenchyma, thought to represent established fibrosis.|fibrosis|nitrofurantoin
We present two cases of nitrofurantoin-induced pulmonary toxicity in which the initial HRCT showed a widespread reticular pattern and associated distortion of the lung parenchyma, thought to represent established fibrosis.|pulmonary toxicity|nitrofurantoin
We present two cases of nitrofurantoin-induced pulmonary toxicity in which the initial HRCT showed a widespread reticular pattern and associated distortion of the lung parenchyma, thought to represent established fibrosis.|widespread reticular pattern|nitrofurantoin
Fluoxetine-related death in a child with cytochrome P-450 2D6 genetic deficiency.|death|Fluoxetine
The medical examiner's report indicated death caused by fluoxetine toxicity.|death|fluoxetine
The medical examiner's report indicated death caused by fluoxetine toxicity.|fluoxetine toxicity|fluoxetine
This is the first report of a fluoxetine-related death in a child with a confirmed genetic polymorphism of the CYP2D6 gene that results in impaired drug metabolism.|death|fluoxetine
A 50-year-old woman with a history of migraine without aura, predominantly occurring around her menstrual periods, developed a spinal cord lesion following the use of zolmitriptan.|spinal cord lesion|zolmitriptan
Spinal cord infarction during use of zolmitriptan: a case report.|Spinal cord infarction|zolmitriptan
The temporal relationship suggests that the spinal cord infarction may be related to the use of zolmitriptan.|spinal cord infarction|zolmitriptan
CASE SUMMARY: A 10-year-old white girl with bilateral optic glioma developed a hypersensitivity reaction to carboplatin after nine courses.|hypersensitivity|carboplatin
This regimen could prove useful for other patients who develop hypersensitivity reactions to carboplatin and allow therapy to continue.|hypersensitivity|carboplatin
Perinatal vasoconstrictive renal insufficiency associated with maternal nimesulide use.|renal insufficiency|nimesulide
This is the first report of an adverse effect of fetal renal circulation by maternal ingestion of nimesulide.|adverse effect of fetal renal circulation|nimesulide
Although the t-AML developed following oral etoposide therapy, the child had previously received high-dose, multiagent chemotherapy, and rearrangement of the MLL gene was not demonstrated.|t-AML|etoposide
Secondary leukemia in a child with neuroblastoma while on oral etoposide: what is the cause?|Secondary leukemia|etoposide
The authors present a case of t-AML that developed in a child with metastatic neuroblastoma 18 months after he received oral etoposide, given for palliation purpose.|t-AML|etoposide
BACKGROUND: Cyanamide, an aversive agent widely used in Japan, is known to induce various degrees of hepatic lesion with ground-glass inclusion bodies.|hepatic lesion with ground-glass inclusion bodies|Cyanamide
Case 2: A 43-year-old male alcoholic remained completely abstinent with cyanamide treatment for 5 years and complained of general fatigue.|general fatigue|cyanamide
Case 3: A 29-year-old female alcoholic complained of general fatigue and a slight fever after 1.5 years of abstinence with cyanamide treatment.|fatigue|cyanamide
Case 3: A 29-year-old female alcoholic complained of general fatigue and a slight fever after 1.5 years of abstinence with cyanamide treatment.|fever|cyanamide
Case 4: A 61-year-old male alcoholic who remained completely abstinent while taking cyanamide for 3 years showed slight elevation of serum transaminases.|elevation of serum transaminases|cyanamide
CONCLUSION: In some abstainers who take cyanamide for several years, thin septum-like liver fibrosis progresses along with the emergence of ground-glass hepatocytes.|ground-glass hepatocytes|cyanamide
CONCLUSION: In some abstainers who take cyanamide for several years, thin septum-like liver fibrosis progresses along with the emergence of ground-glass hepatocytes.|septum-like liver fibrosis|cyanamide
Cyanamide-induced liver dysfunction after abstinence in alcoholics: a long-term follow-up study on four cases.|liver dysfunction|Cyanamide
When cyanamide-treated alcoholics relapse into drinking, more severe inflammation develops in the liver.|inflammation|cyanamide
A patient with an allergy to a macrolide antibiotic was given tacrolimus and developed a sudden cutaneous reaction.|sudden cutaneous reaction|tacrolimus
A 77-year-old woman with no history of epilepsy presented a probable nonconvulsive status epilepticus while receiving continuous intravenous morphine for back pain relating to vertebral metastasis of a malignant lymphoma.|nonconvulsive status epilepticus|morphine
A generalized tonic-clonic seizure occurred a few minutes after injection of the morphine antagonist naloxone.|generalized tonic-clonic seizure|naloxone
Nonconvulsive status epilepticus: the role of morphine and its antagonist.|Nonconvulsive status epilepticus|morphine
Spontaneous bacterial peritonitis induced by intraarterial vasopressin therapy.|bacterial peritonitis|vasopressin
Although the literature on the use of risperidone in elderly patients with dementia consists largely of uncontrolled trials, case reports, and chart reviews, it appears that this agent is effective for managing agitation in this population and does so with a low frequency of extrapyramidal symptoms (EPS).|EPS|risperidone
Although the literature on the use of risperidone in elderly patients with dementia consists largely of uncontrolled trials, case reports, and chart reviews, it appears that this agent is effective for managing agitation in this population and does so with a low frequency of extrapyramidal symptoms (EPS).|extrapyramidal symptoms|risperidone
Three months following splenectomy, multiple abscesses occurred in the muscles of both thighs while the patient was receiving the third course of the CHOP regimen.|multiple abscesses|CHOP
After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.|anti-native DNA antibodies|ethambutol
After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.|hepatitis|ethambutol
After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.|polyarthritis|ethambutol
After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.|rash|ethambutol
Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.|anti-native DNA antibodies|ethambutol
Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.|anti-native DNA antibodies|rifampicin
Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.|hepatitis|ethambutol
Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.|hepatitis|rifampicin
Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.|Polyarthritis|ethambutol
Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.|Polyarthritis|rifampicin
A case of normotensive scleroderma renal crisis after high-dose methylprednisolone treatment.|normotensive scleroderma renal crisis|methylprednisolone
HUS has been reported after several anticancer chemotherapies and most often after mitomycin C-based chemotherapy regimens.|HUS|mitomycin C
Severe hemolytic uremic syndrome in an advanced ovarian cancer patient treated with carboplatin and gemcitabine.|Severe hemolytic uremic syndrome|carboplatin
Severe hemolytic uremic syndrome in an advanced ovarian cancer patient treated with carboplatin and gemcitabine.|Severe hemolytic uremic syndrome|gemcitabine
We present a case of HUS in an advanced ovarian cancer patient treated with carboplatin and gemcitabine, and described its favorable outcome after chemotherapy interruption and supportive care with a 1 year follow-up.|HUS|carboplatin
We present a case of HUS in an advanced ovarian cancer patient treated with carboplatin and gemcitabine, and described its favorable outcome after chemotherapy interruption and supportive care with a 1 year follow-up.|HUS|gemcitabine
An evaluation of ovarian structure and function should be considered in women of reproductive age being treated with valproate for epilepsy, especially if they develop menstrual cycle disturbances during treatment.|menstrual cycle disturbances|valproate
BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.|hyperandrogenism|sodium valproate
BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.|menstrual disorders|sodium valproate
BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.|polycystic ovaries|sodium valproate
BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.|Reproductive endocrine disorders|sodium valproate
CONCLUSIONS: The 3 cases presented here illustrate the development of reproductive endocrine disorders after the initiation of valproate therapy in women with epilepsy.|reproductive endocrine disorders|valproate
OBJECTIVE: To describe the development of valproate-related reproductive endocrine disorders in women with epilepsy.|reproductive endocrine disorders|valproate
PATIENTS: Three patients developed a reproductive endocrine disorder during treatment with valproate.|reproductive endocrine disorder|valproate
RESULTS: Replacing valproate with lamotrigine resulted in a decrease in serum testosterone concentrations in all 3 women.|serum testosterone|valproate
The polycystic changes disappeared from the ovaries in 2 of the women after valproate therapy was discontinued, and the 2 women who had gained weight and developed amenorrhea while being treated with valproate lost weight and resumed menstruating after the change in medication.|amenorrhea|valproate
The polycystic changes disappeared from the ovaries in 2 of the women after valproate therapy was discontinued, and the 2 women who had gained weight and developed amenorrhea while being treated with valproate lost weight and resumed menstruating after the change in medication.|gained weight|valproate
The polycystic changes disappeared from the ovaries in 2 of the women after valproate therapy was discontinued, and the 2 women who had gained weight and developed amenorrhea while being treated with valproate lost weight and resumed menstruating after the change in medication.|polycystic changes|valproate
However, recurrent staphylococcus aureus sepsis developed during CyA therapy.|staphylococcus aureus sepsis|CyA
Recurrent septicemia with lethal outcome during and after cyclosporine therapy in severe ulcerative colitis.|lethal|cyclosporine
Recurrent septicemia with lethal outcome during and after cyclosporine therapy in severe ulcerative colitis.|septicemia|cyclosporine
A 60 year-old woman with chronic renal failure developed acute proximal muscle weakness after receiving a regular dosage of colchicine.|proximal muscle weakness|colchicine
Colchicine-induced myopathy in renal failure.|myopathy|Colchicine
Muscle biopsy revealed variation in muscle fiber size and few vacuolated fibers which were features of colchicine-induced myopathy.|myopathy|colchicine
Muscle biopsy revealed variation in muscle fiber size and few vacuolated fibers which were features of colchicine-induced myopathy.|vacuolated fibers|colchicine
Muscle biopsy revealed variation in muscle fiber size and few vacuolated fibers which were features of colchicine-induced myopathy.|variation in muscle fiber size|colchicine
A third patient experienced disabling neurotoxicity in the extremity of a prior ulnar nerve and tendon transposition after receiving paclitaxel.|disabling neurotoxicity|paclitaxel
Phantom limb pain as a manifestation of paclitaxel neurotoxicity.|neurotoxicity|paclitaxel
Phantom limb pain as a manifestation of paclitaxel neurotoxicity.|Phantom limb pain|paclitaxel
Physicians should be aware that PLP can occur after initiation of paclitaxel.|PLP|paclitaxel
We describe 2 patients with prior amputation who experienced phantom limb pain (PLP) after receiving paclitaxel therapy.|phantom limb pain|paclitaxel
We describe 2 patients with prior amputation who experienced phantom limb pain (PLP) after receiving paclitaxel therapy.|PLP|paclitaxel
Skin manifestations of a case of phenylbutazone-induced serum sickness-like reactions.|serum sickness-like reactions|phenylbutazone
Skin manifestations of a case of phenylbutazone-induced serum sickness-like reactions.|Skin manifestations|phenylbutazone
Our experience supports hemodialysis for ESRF patients with atenolol toxicity.|atenolol toxicity|atenolol
Allergic reaction to gemfibrozil manifesting as eosinophilic gastroenteritis.|eosinophilic gastroenteritis|gemfibrozil
We describe a case of EGE manifested as an allergy to gemfibrozil.|EGE|gemfibrozil
This is the second report of lactic acidosis in a patient on stavudine and lamivudine.|lactic acidosis|lamivudine
This is the second report of lactic acidosis in a patient on stavudine and lamivudine.|lactic acidosis|stavudine
We present an AIDS patient with severe and prolonged lactic acidosis on stavudine and lamivudine.|lactic acidosis|lamivudine
We present an AIDS patient with severe and prolonged lactic acidosis on stavudine and lamivudine.|lactic acidosis|stavudine
Ataxia caused by propafenone has been reported to the pharmaceutical companies and drug monitoring agencies, but has not been well described or emphasized in the medical literature.|Ataxia|propafenone
A wide variety of adverse central nervous system effects have been reported in association with propafenone; dizziness is the most common.|adverse central nervous system effects|propafenone
A wide variety of adverse central nervous system effects have been reported in association with propafenone; dizziness is the most common.|dizziness|propafenone
Propafenone-induced ataxia: report of three cases.|ataxia|Propafenone
We describe 3 elderly patients with moderate to severe ataxia that occurred while they were taking propafenone.|ataxia|propafenone
A 74-year-old man received oral administration of pilsicainide, a pure sodium channel blocker with slow recovery kinetics, to convert paroxysmal atrial fibrillation to sinus rhythm and developed loss of consciousness two days later.|loss of consciousness|pilsicainide
When pilsicainide is prescribed in patients with coronary artery disease or renal dysfunction, close attention must be paid to avoid life-threatening arrhythmias due to high plasma concentrations of the drug.|life-threatening arrhythmias|pilsicainide
The cases are important in documenting that drug-induced dystonias do occur in patients with dementia, that risperidone appears to have contributed to dystonia among elderly patients, and that the categorization of dystonic reactions needs further clarification.|dystonia|risperidone
Provocation of non-convulsive status epilepticus by tiagabine in three adolescent patients.|non-convulsive status epilepticus|tiagabine
The events of non-convulsive status epilepticus subsided following reduction in tiagabine dosages.|non-convulsive status epilepticus|tiagabine
This is the first report of non-convulsive status epilepticus provoked by tiagabine in adolescent patients.|non-convulsive status epilepticus|tiagabine
There have been many reports of probable lithium-induced organic brain syndromes occurring when serum lithium levels are within or close to the therapeutic range.|organic brain syndromes|lithium
When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.|intense anxiety|lithium
When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.|neurotoxicity|lithium
When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.|psychotic symptoms|lithium
Protease inhibitor-induced carbamazepine toxicity.|carbamazepine toxicity|carbamazepine
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.|carbamazepine toxicity|carbamazepine
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.|carbamazepine toxicity|ritonavir
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.|carbamazepine toxicity|saquinavir
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.|progressive ataxia|carbamazepine
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.|progressive ataxia|ritonavir
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.|progressive ataxia|saquinavir
Ritonavir acted as a CYP3A4 inhibitor, diminishing carbamazepine metabolism and provoking an increase in serum levels and clinical toxicity.|clinical toxicity|Ritonavir
Ritonavir acted as a CYP3A4 inhibitor, diminishing carbamazepine metabolism and provoking an increase in serum levels and clinical toxicity.|diminishing carbamazepine metabolism|Ritonavir
Ritonavir acted as a CYP3A4 inhibitor, diminishing carbamazepine metabolism and provoking an increase in serum levels and clinical toxicity.|increase in serum levels|Ritonavir
The patient was diagnosed with carbamazepine toxicity related to the introduction of ritonavir.|carbamazepine toxicity|carbamazepine
The patient was diagnosed with carbamazepine toxicity related to the introduction of ritonavir.|carbamazepine toxicity|ritonavir
Anaphylaxis to calcitonin.|Anaphylaxis|calcitonin
CONCLUSION: We have introduced a case of anaphylaxis by calcitonin that suggest an IgE mediated hypersensitivity reaction.|anaphylaxis |calcitonin
The intramuscular challenge test with 25 UI of Miacalcic was positive with an immediate anaphylactic reaction.|anaphylactic reaction|Miacalcic
We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).|conjunctivitis|calcitonin
We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).|conjunctivitis|Calsynar
We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).|perspiration|calcitonin
We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).|perspiration|Calsynar
We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).|rhinitis|calcitonin
We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).|rhinitis|Calsynar
Minocycline as a cause of drug-induced autoimmune hepatitis.|autoimmune hepatitis|Minocycline
Minocycline-induced autoimmune hepatitis is usually identical to sporadic autoimmune hepatitis.|autoimmune hepatitis|Minocycline
We describe the clinical and liver biopsy morphologic features for 4 patients with minocycline-induced autoimmune hepatitis (group 1).|autoimmune hepatitis|minocycline
L-asparaginase-provoked seizures as singular expression of central nervous toxicity.|central nervous toxicity|L-asparaginase
L-asparaginase-provoked seizures as singular expression of central nervous toxicity.|seizures|L-asparaginase
Patients treated with L-asparaginase may present with hemorrhagic and thrombotic cerebrovascular events.|hemorrhagic|L-asparaginase
Patients treated with L-asparaginase may present with hemorrhagic and thrombotic cerebrovascular events.|thrombotic cerebrovascular events|L-asparaginase
We report a case of seizure associated with L-asparaginase therapy but no evidence of hemorrhagic or thrombotic cerebrovascular events.|seizure|L-asparaginase
Eighty-two patients with various malignancies who received imipenem/cilastatin 143 times for neutropenic fever between March 1994 and October 1999 in Department of Pediatric Oncology, Gazi University, were identified.|neutropenic fever|cilastatin
Eighty-two patients with various malignancies who received imipenem/cilastatin 143 times for neutropenic fever between March 1994 and October 1999 in Department of Pediatric Oncology, Gazi University, were identified.|neutropenic fever|imipenem
Incidence of seizures in pediatric cancer patients treated with imipenem/cilastatin.|seizures|cilastatin
Incidence of seizures in pediatric cancer patients treated with imipenem/cilastatin.|seizures|imipenem
Proconvulsive tendency of imipenem/cilastatin is one of its well-known side effects.|Proconvulsive|cilastatin
Proconvulsive tendency of imipenem/cilastatin is one of its well-known side effects.|Proconvulsive|imipenem
Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.|convulsions|cilastatin
Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.|convulsions|imipenem
Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.|seizure|cilastatin
Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.|seizure|imipenem
